Project Name,RERA Reg. No.,Project Address,Taluka,District,State,Project Type,About Property,Project Start Date,Project End Date,Project Land Area,Total Open Area,Total Covered Area,Carpet Area of Units (Range),Plan Passing Authority,Redevelopment Project,Affordable Housing,Amenities,Unit Type,Block,Total Units,Available Units,Total No. of Towers/Blocks,Promoter Name,Promoter Type,Contact,Email Id,Address,Office Address,Partner 1,Partner 2,Partner 3,Partner 4,Partner 5,Project Estimated Cost (Rs.),Percentage Loan Against Project Estimated Cost,Total Quarterly Compliance Required,Total Complied Quarters,Total Quarterly Compliance Defaulted,Total Annual Compliance Required,Total Complied Annual Compliance,Total Annual Compliance Defaulted,Project Status,Website,Approved Date,Partner 6,Partner 7,Partner 8,Partner 9,Pincode,Partner 10,Partner 11,Partner 12,Partner 13,Partner 14,Partner 15,Partner 16
KRUSHNAKUNJ RESIDENCY,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05119/EX1/211219,"T.P. NO.3, F.P NO. 412/5, LAW GARDEN ELLISBRIDGE",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL FLATS,01-10-2018,30-06-2021,"568 Sq Mtrs
Total Open Area:- 282 Sq Mtrs
Total Covered Area:- 286 Sq Mtrs","282 Sq Mtrs
Total Covered Area:- 286 Sq Mtrs",286 Sq Mtrs,99.44 Sq Mts - 132.8 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Water Conservation, Water Supply, Road",Residential,1,10,2,1,PANCHTIRTH DEVELOPERS LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9427555684,rajendrabhaiunadkat@gmail.com,"D 102, KASTURI NIVAS NR. EYE DREAM, SCIENCE CITY ROAD, SOLA Gujarat Ahmedabad 380060","T.P. NO.3, F.P NO. 412/5, LAW GARDEN, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. RAJENDRA JAMNADAS UNADKAT (Authorized Signatory)
2. Mr. Rajendrakumar Mahavirchand Bhansali
3. Mr. Bhavesh Ramniklal Hindocha
4. Mr. Dilipkumar Bhagvanji Chotai
5. Mr. Naimish Ishwarbhai Makadia
6. Mr. Ishvarbhai Bavanjibhai Makadiya
7. Mr. Dharmendra Ramniklal Hindocha
8. Mr. Manishkumar Ramniklal Hindocha
9. Mr. Sanjaykumar Ramniklal Hindocha
10. Mrs. Pinky Rajendra Bhansali
11. Mr. Vishal Rajendrabhai Unadkat
12. Mr. Jitendrabhai Bhagvanji Chotai
13. Mr. Vivek Vinodbhai Unadkat
Project Estimated Cost (Rs.):- 7,36,50,990 Percentage Loan Against Project Estimated Cost :- 11.73 %",RAJENDRA JAMNADAS UNADKAT (Authorized Signatory),Mr. Rajendrakumar Mahavirchand Bhansali,Mr. Bhavesh Ramniklal Hindocha,Mr. Dilipkumar Bhagvanji Chotai,Mr. Naimish Ishwarbhai Makadia,"7,36,50,990",11.73%,9,7,NIL,3,2,NIL,New,www.panchtirthdevelopers.com,22-03-2019,Mr. Ishvarbhai Bavanjibhai Makadiya,Mr. Dharmendra Ramniklal Hindocha,Mr. Manishkumar Ramniklal Hindocha,Mr. Sanjaykumar Ramniklal Hindocha,380006,Mrs. Pinky Rajendra Bhansali,Mr. Vishal Rajendrabhai Unadkat,Mr. Jitendrabhai Bhagvanji Chotai,Mr. Vivek Vinodbhai Unadkat,,,
LAXMI VILLA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA05783/EX1/230522,"PLOT-30, JAIN SOCIETY, OPP. MANGALYA FLAT, PRITAMNAGAR AKHADA ROAD, PALDI, AHMEDABAD",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 AND 4 BHK LUXURIOUS LIVING,01-10-2017,30-12-2021,"892.11 Sq Mtrs
Total Open Area:- 426.47 Sq Mtrs
Total Covered Area:- 465.64 Sq Mtrs","426.47 Sq Mtrs
Total Covered Area:- 465.64 Sq Mtrs",465.64 Sq Mtrs,107.96 Sq Mts - 168.17 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Security, Drinking Water, Water Conservation, Water Supply, Road",Residential,One,17,17,1,ARIHANT CORPORATION,PARTNERSHIP FIRM,9825189323,mehtaamit8334@gmail.com,"207, 2ND FLOOR, VRUNDAVAN SHOPPING CENTRE RATANPOL, PANKORNAKA, AHMEDABAD Gujarat Ahmedabad 380001","PLOT-30, JAIN SOCIETY, OPP. MANGALYA FLAT,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. AMITBHAI DHIRAJLAL MEHTA (Authorized Signatory)
2. RAKESHBHAI POPATLAL SANGHAVI
3. BHARATKUMAR MOHANLAL SHAH
4. VINOD MOHANLAL MEHTA
5. HITEN MAHASUKHLAL MEHTA
6. SANJIV DHIRAJLAL MEHTA
7. BHUPENDRA BABULAL SANGHAVI
8. RASILABEN MAHASUKHLAL SHAH
Project Estimated Cost (Rs.):- 14,87,20,451 Percentage Loan Against Project Estimated Cost :- 29.68 %",AMITBHAI DHIRAJLAL MEHTA (Authorized Signatory),RAKESHBHAI POPATLAL SANGHAVI,BHARATKUMAR MOHANLAL SHAH,VINOD MOHANLAL MEHTA,HITEN MAHASUKHLAL MEHTA,"14,87,20,451",29.68%,10,4,1,3,2,NIL,Ongoing,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=8531,24-07-2019,SANJIV DHIRAJLAL MEHTA,BHUPENDRA BABULAL SANGHAVI,RASILABEN MAHASUKHLAL SHAH,,380006,,,,,,,
LE JARDIN,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00352/061017,"F P 605/P, BEAR SWATI SNACKS, OPP BRTS BUS STOP, PANCHAVATI-LAW GARDEN ROAD, ELLISBRIDGE,",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,"166 RESIDENTIAL FLATS IN FOUR FOURTEEN STOREY TOWERS NAMELY AS ALMOND TREE, BEECH TREE, CHERRY TREE AND DAFFODIL.",20-10-2014,31-12-2017,"6717 Sq Mtrs
Total Open Area:- 3261 Sq Mtrs
Total Covered Area:- 3456 Sq Mtrs","3261 Sq Mtrs
Total Covered Area:- 3456 Sq Mtrs",3456 Sq Mtrs,124.07 Sq Mts - 220.07 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",No inventory data available,,0,0,4,GRANT INFRASTRUCTURE PRIVATE LIMITED,COMPANY,9978941605,ca@advance.net.in,"FF 21-22, ADVANCE PLAZA, OPP. SWAMINARAYAN TEMPLE, SHAHIBAUG ROAD, Gujarat Ahmedabad 380004","F P 605/P, BEAR SWATI SNACKS, OPP BRTS BUS STOP,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. ASHISH PATEL
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",ASHISH PATEL,,,,,,,1,1,NIL,1,1,NIL,Completed,www.advance-lejardin.com,06-10-2017,,,,,380006,,,,,,,
MAJESTIC,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA05182/010419,"Majestic Plaza, Sub Plot 1, Near Tirthbhoomi Apartment, Opp Krishna Society, Near Café Coffee Day, Ellisbridge",Ahmedabad City,Ahmedabad,Gujarat,Commercial,A 7 storey building comprising of Retail Showrooms & Offices,31-01-2019,30-06-2024,"1515 Sq Mtrs
Total Open Area:- 774 Sq Mtrs
Total Covered Area:- 741 Sq Mtrs","774 Sq Mtrs
Total Covered Area:- 741 Sq Mtrs",741 Sq Mtrs,39.59 Sq Mts - 129.58 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety",Office; Shop,Majestic; Majestic,72,9,1,D & C MAJESTIC PLAZA LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9898770005,majestic17418@gmail.com,"505, 5th Floor, Kairos, Near Manav Mandir Drive-in road, Memnagar, Ahmedabad GUJARAT Ahmedabad Ahmedabad City 380052","Majestic Plaza, Sub Plot 1, Near Tirthbhoomi Apartment, Opp Krishna Society,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. DEVAL PATEL (Authorized Signatory)
2. TAHERI HATIM SARSANWALA
3. AZARO REALTY LLP
4. NABHIJA MULTITRADE LLP
Project Estimated Cost (Rs.):- 64,56,05,800 Percentage Loan Against Project Estimated Cost :- 29.71 %",DEVAL PATEL (Authorized Signatory),TAHERI HATIM SARSANWALA,AZARO REALTY LLP,NABHIJA MULTITRADE LLP,,"64,56,05,800",29.71%,20,19,NIL,5,5,NIL,New,www.dandc.in,01-04-2019,,,,,380006,,,,,,,
MANOR GREENZ,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02459/230418,MANOR GREENZ OPP HOCKEY GROUND BEHIND ELLISBRIDGE GYMKHANA,Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,IT IS A RESIDENTIAL PROJECT HAVING 38 UNITS LOCATED AT LAW GARDEN AREA AHMEDABAD,31-12-2017,30-06-2024,"2238 Sq Mtrs
Total Open Area:- 1254.71 Sq Mtrs
Total Covered Area:- 983.29 Sq Mtrs","1254.71 Sq Mtrs
Total Covered Area:- 983.29 Sq Mtrs",983.29 Sq Mtrs,193.75 Sq Mts - 243.75 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety",Residential,A,38,0,1,ASHTA VINAYAK CORPORATION,PARTNERSHIP FIRM,9824214452,ashtavinayakcorporation693@gmail.com,MANOR GREENZ OPP HOCKEY GROUND BEHIND ELLISBRIDGE GYMKHANA Gujarat Ahmedabad 380009,"MANOR GREENZ OPP HOCKEY GROUND, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. DIVYESH R SHAH (Authorized Signatory)
Project Estimated Cost (Rs.):- 54,56,29,300 Percentage Loan Against Project Estimated Cost :- 0 %",DIVYESH R SHAH (Authorized Signatory),,,,,"54,56,29,300",0%,24,16,NIL,7,5,1,New,https://gujrera.gujarat.gov.in/viewProjectDetailPage?projectID=5792,23-04-2018,,,,,380006,,,,,,,
Mehta 531,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/CAA02451/A1C/EX1/170821,"Mehta 531, Near VS Hospital Ashram Road",Ahmedabad City,Ahmedabad,Gujarat,Commercial,Shops & Office,01-04-2017,30-06-2022,"1744.95 Sq Mtrs
Total Open Area:- 927.93 Sq Mtrs
Total Covered Area:- 917.02 Sq Mtrs","927.93 Sq Mtrs
Total Covered Area:- 917.02 Sq Mtrs",917.02 Sq Mtrs,8.34 Sq Mts - 257.95 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Water Conservation, Water Supply, Fire Safety, Road",Shop,Mehta 531,90,18,1,ARHAM INFRA,PARTNERSHIP FIRM,9898610311,cavatsal94@gmail.com,"C/O Mehta Restaurant Near V.S.Hospital, Ashram Road Gujarat Ahmedabad Ahmedabad City 380006","Mehta 531, Near VS Hospital, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. ABHAYKUMAR RAMANLAL SHAH (Authorized Signatory)
2. HIMANSHU CHINUBHAI SHAH
3. NISHITBHAI ASHWINBHAI MEHTA
4. ZALAKBEN NISHIT MAHETA
Project Estimated Cost (Rs.):- 28,96,41,352 Percentage Loan Against Project Estimated Cost :- 12.79 %",ABHAYKUMAR RAMANLAL SHAH (Authorized Signatory),HIMANSHU CHINUBHAI SHAH,NISHITBHAI ASHWINBHAI MEHTA,ZALAKBEN NISHIT MAHETA,,"28,96,41,352",12.79%,16,10,NIL,4,3,NIL,Ongoing,http://mehta531.in/,23-04-2018,,,,,380006,,,,,,,
NEXRISE BLISS,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01019/EX2/280219,"B/H PASSPORT OFFICE, UNIVERSITY ROAD GULBAI TEKRA",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 BHK REDEVELOPMENT RESIDENCIAL,21-03-2017,20-03-2019,"852.84 Sq Mtrs
Total Open Area:- 395.13 Sq Mtrs
Total Covered Area:- 457.83 Sq Mtrs","395.13 Sq Mtrs
Total Covered Area:- 457.83 Sq Mtrs",457.83 Sq Mtrs,95.52 Sq Mts - 95.52 Sq Mts,Ahmedabad Municipal Corporation,NIL Affordable Housing :- NO,NO,"Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety",No inventory data available,,0,0,1,NEXRISE BUILD,PARTNERSHIP FIRM,8980755888,shikha@nexrise.co,"501, FIFTH FLOOR, KADAMB COMPLEX, NR. RAJVANSH FLATS BODAKDEV, JUDGES BUNGALOW ROAD Gujarat Ahmedabad 380054","B/H PASSPORT OFFICE, UNIVERSITY ROAD, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. MR. VIPUL PATEL
Project Estimated Cost (Rs.):- NaN Percentage Loan Against Project Estimated Cost :-",MR. VIPUL PATEL,,,,,,,6,2,NIL,2,2,NIL,Ongoing,http://nexrise.co,15-12-2017,,,,,380006,,,,,,,
NORTH VIEW,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/CAA00049/EX1/EX2/230719,"NR. OLD PASSPORT OFFICE, UNIVERSITY ROAD, NAVRANGPURA",Ahmedabad City,Ahmedabad,Gujarat,Commercial,COMMERCIAL PROJECT 36 UNIT,10-03-2017,31-10-2019,"839 Sq Mtrs
Total Open Area:- 461 Sq Mtrs
Total Covered Area:- 378 Sq Mtrs","461 Sq Mtrs
Total Covered Area:- 378 Sq Mtrs",378 Sq Mtrs,48.46 Sq Mts - 123.33 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Community Hall, Fire Safety, Road",Office; Other,north view; north view,34,22,1,VISHWANATH REALTY,PARTNERSHIP FIRM,9879789020,hitesh.vyas@vishwanathbuilders.com,"17, ND AVENUE, OPP. CLUB O7 SKY CITY ROAD, SHELA Gujarat Ahmedabad 380058","NR. OLD PASSPORT OFFICE, , Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. HITESH RASIKLAL VYAS (Authorized Signatory)
Project Estimated Cost (Rs.):- 20,48,02,000 Percentage Loan Against Project Estimated Cost :- 0 %",HITESH RASIKLAL VYAS (Authorized Signatory),,,,,"20,48,02,000",0%,9,6,NIL,3,3,NIL,Ongoing,http://vishwanathbuilders.com,01-09-2017,,,,,380006,,,,,,,
NORTHVIEW CO.OP. HOUSING SOCIETY LTD PART-4,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA01243/EX1/010220,"NORTHVIEW CO.OP. HOUSING SOCIETY LTD PART-4, Nr. Saint Xavier's College, Navrangpura, Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,RESIDENTIAL,01-09-2017,30-06-2021,"2416.42 Sq Mtrs
Total Open Area:- 1429 Sq Mtrs
Total Covered Area:- 987.42 Sq Mtrs","1429 Sq Mtrs
Total Covered Area:- 987.42 Sq Mtrs",987.42 Sq Mtrs,185.21 Sq Mts - 185.21 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- NO,NO,"Garden, Lift, Security, Water Conservation, Water Supply, Fire Safety, Road",Residential,A,30,0,0,S.V. CONSTRUCTION,PARTNERSHIP FIRM,8980004218,reranorthview@gmail.com,"D/301/SHYAM ARCADE GANGOTRI CIRCLE, NIKOL Gujarat Ahmedabad 382350","NORTHVIEW CO.OP. HOUSING SOCIETY LTD PART-4,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. NILESHBHAI BABUBHAI CHAUHAN (Authorized Signatory)
Project Estimated Cost (Rs.):- 16,61,43,120 Percentage Loan Against Project Estimated Cost :- 0 %",NILESHBHAI BABUBHAI CHAUHAN (Authorized Signatory),,,,,"16,61,43,120",0%,14,12,NIL,4,4,NIL,Ongoing,http://svconstructionahmedabad.com,08-01-2018,,,,,380006,,,,,,,
OMKARA SKYLINE,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/MAA13621/030624/311228,"OMKARA SKYLINE, OPP. C.N. VIDHYALAY CIRCLE, POLYTECHNIC ROAD AMBAWADI",Ahmedabad City,Ahmedabad,GUJARAT,Mixed Development,RESIDENTIAL AND SHOPS,28-02-2023,31-12-2028,"Sq Mtrs
Total Open Area:- 2479.21 Sq Mtrs
Total Covered Area:- 1648.79 Sq Mtrs","2479.21 Sq Mtrs
Total Covered Area:- 1648.79 Sq Mtrs",1648.79 Sq Mtrs,72.44 Sq Mts - 345.21 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Office; Shop; Residential,A+B; A+B; A+B,118,37,1,ADIKARA DEVELOPER,PARTNERSHIP FIRM,8160728091,omkarskylinerera2023@gmail.com,"A-5/54, 5TH FLOOR, AALOK-5, NR. NIRAANT CROSS ROAD VASTRAL GUJARAT Ahmedabad Daskroi 382418","OMKARA SKYLINE, OPP. C.N. VIDHYALAY CIRCLE, POLYTECHNIC ROAD, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. MITTAL DALPATBHAI PRAJAPATI
2. TARUN OMPRAKASH DHARIWAL (Authorized Signatory)
3. HARDIK SOMABHAI PRAJAPATI
4. PRAVINKUMAR NAGARDAS PATEL
5. MINESHKUMAR RAMANLAL PATEL
6. DHARMENDRA HIRALAL PRAJAPATI
7. VIJAY MANHARLAL SHAH
Project Estimated Cost (Rs.):- 35,38,75,095 Percentage Loan Against Project Estimated Cost :- 0 %",MITTAL DALPATBHAI PRAJAPATI,TARUN OMPRAKASH DHARIWAL (Authorized Signatory),HARDIK SOMABHAI PRAJAPATI,PRAVINKUMAR NAGARDAS PATEL,MINESHKUMAR RAMANLAL PATEL,"35,38,75,095",0%,6,6,NIL,2,NIL,NIL,New,Not Available,03-06-2024,DHARMENDRA HIRALAL PRAJAPATI,VIJAY MANHARLAL SHAH,,,380006,,,,,,,
Prabhuvan Residency,PR/GJ/AHMEDABAD/AHMADABAD CITY/AUDA/RAA00396/EX2/A1R/241219,"46, Brahman Mitra Mandal Society, Paldi",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,Apartments,01-12-2016,30-11-2020,"676 Sq Mtrs
Total Open Area:- 289 Sq Mtrs
Total Covered Area:- 387 Sq Mtrs","289 Sq Mtrs
Total Covered Area:- 387 Sq Mtrs",387 Sq Mtrs,170.4 Sq Mts - 172.9 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Water Conservation, Water Supply, Road",Residential,1,10,4,1,Prabhuvan Residency LLP,LIMITED LIABILITY PARTNERSHIP FIRM,9327566428,prabhuvan46paldi@gmail.com,"F-3, Anand Complex Opp. Shilp Building, Navrangpura Gujarat Ahmedabad 380009","46, Brahman Mitra Mandal Society,, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. Shah Pankaj Thakershy (Authorized Signatory)
Project Estimated Cost (Rs.):- 11,42,65,584 Percentage Loan Against Project Estimated Cost :- 0 %",Shah Pankaj Thakershy (Authorized Signatory),,,,,"11,42,65,584",0%,13,10,NIL,4,4,NIL,Ongoing,www.environsprojects.in/,10-10-2017,,,,,380006,,,,,,,
Pushpam,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA13747/280624/311024,"Beside SBI Bank,Bhudarpura Road Ambawadi",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,Residential Project,09-05-2021,31-10-2024,"561.17 Sq Mtrs
Total Open Area:- 325.52 Sq Mtrs
Total Covered Area:- 235.65 Sq Mtrs","325.52 Sq Mtrs
Total Covered Area:- 235.65 Sq Mtrs",235.65 Sq Mtrs,90.07 Sq Mts - 97.35 Sq Mts,Ahmedabad Municipal Corporation,YES Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,A,14,6,1,SANJAY MASUKHBHAI MARU PROP. OF SHREEJI DEVELOPER,Individual/Propritorship,8866362974,shreeji.develop02@gmail.com,"100, DHARMABHUMI SOCITY VATVA GUJARAT Ahmedabad Daskroi 382440","Beside SBI Bank,Bhudarpura Road, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
No partners Present.
Project Estimated Cost (Rs.):- 4,97,34,971 Percentage Loan Against Project Estimated Cost :- 0 %",,,,,,"4,97,34,971",0%,2,1,NIL,2,NIL,NIL,New,Not Available,28-06-2024,,,,,380006,,,,,,,
Rivera Apartment,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AHMEDABAD MUNICIPAL CORPORATION/RAA15175/060525/311227,"Rivera Apartment, Opp. Atal Bridge Parking Plot, B/H Tagor Hall, Kocharab, Ahmedabad-380006",Ahmedabad City,Ahmedabad,GUJARAT,Residential/Group Housing,3 BHK,26-04-2024,31-12-2027,"Sq Mtrs
Total Open Area:- 287.5 Sq Mtrs
Total Covered Area:- 218.35 Sq Mtrs","287.5 Sq Mtrs
Total Covered Area:- 218.35 Sq Mtrs",218.35 Sq Mtrs,87.75 Sq Mts - 88 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Lift, Security, Drinking Water, Water Conservation, Water Supply, Renewable Energy, Fire Safety, Road",Residential,A,14,5,1,New Crystal Builders,PARTNERSHIP FIRM,9898212728,newcrystalbuilders@gmail.com,"New Crystal Builders, Ground Floor, Hotel Apple Inn, Opp. Krushi Bhavan, Sardar Bridge Road, Paldi, Ahmedabad - 380007 Paldi GUJARAT Ahmedabad Ahmedabad City 380007","Rivera Apartment, Opp. Atal Bridge Parking Plot, B/H Tagor Hall, Kocharab, Ahmedabad-380006, Ahmedabad City, Ahmedabad, GUJARAT, 380006
Partners:-
1. RUKNUDDIN GULAMRASUL SHAIKH
2. MONIHAL NAUSHADBHAI SHAIKH
3. NAUSHAD GULAMDASTAGIR SHAIKH
4. MOHD FARHAN RUKNUDDIN SHAIKH
Project Estimated Cost (Rs.):- 3,63,50,200 Percentage Loan Against Project Estimated Cost :- 0 %",RUKNUDDIN GULAMRASUL SHAIKH,MONIHAL NAUSHADBHAI SHAIKH,NAUSHAD GULAMDASTAGIR SHAIKH,MOHD FARHAN RUKNUDDIN SHAIKH,,"3,63,50,200",0%,NIL,NIL,NIL,1,NIL,NIL,New,Not Available,06-05-2025,,,,,380006,,,,,,,
RUJUVALIKA,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA02222/020418,"PLOT NO.-566, OPP NALANDA COMPLEX PRITAMNAGAR AKHADA ROAD",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 AND 4 BHK RESIDENTIAL APPARTMENT,07-10-2017,30-09-2021,"4313 Sq Mtrs
Total Open Area:- 2327.77 Sq Mtrs
Total Covered Area:- 1985.23 Sq Mtrs","2327.77 Sq Mtrs
Total Covered Area:- 1985.23 Sq Mtrs",1985.23 Sq Mtrs,117.68 Sq Mts - 291.13 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Security, Drinking Water, Water Conservation, Water Supply, Community Hall, Road",Residential,A,82,61,3,RIDHAM DEVELOPERS,PARTNERSHIP FIRM,9725299444,rujuvalika78@gmail.com,"PLOT NO.565/2, RUJUVALIKA, OPP. NALANDA ENCLAVE PRITAMNAGAR, ELLISBRIDGE Gujarat Ahmedabad Ahmedabad City 380006","PLOT NO.-566, OPP NALANDA COMPLEX, Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. VIRAG SUPALKUMAR SHAH
2. SUPAL MOTIBHAI SHAH (Authorized Signatory)
3. RAJESHKUMAR RAMANALAL THAKKAR
4. RAMESHKUMAR SHAH
Project Estimated Cost (Rs.):- 91,73,98,006 Percentage Loan Against Project Estimated Cost :- 0 %",VIRAG SUPALKUMAR SHAH,SUPAL MOTIBHAI SHAH (Authorized Signatory),RAJESHKUMAR RAMANALAL THAKKAR,RAMESHKUMAR SHAH,,"91,73,98,006",0%,14,10,NIL,4,3,NIL,New,Not Available,02-04-2018,,,,,380006,,,,,,,
Sansita Pratham,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/RAA03216/230718,"Sub plot No 28/A, Maharashtra Co.Operative Housing Society Ltd. bearing final plot No. 452 of Town Planning scheme No.3 ( Ellisbridge) Mauje Changispur, Taluka Sabarmati District Ahmedabad",Ahmedabad City,Ahmedabad,Gujarat,Residential/Group Housing,3 and 4 bBHK Apartments,01-06-2018,31-12-2020,"1528.08 Sq Mtrs
Total Open Area:- 983.59 Sq Mtrs
Total Covered Area:- 544.49 Sq Mtrs","983.59 Sq Mtrs
Total Covered Area:- 544.49 Sq Mtrs",544.49 Sq Mtrs,109.91 Sq Mts - 153 Sq Mts,Ahmedabad Municipal Corporation,NO Affordable Housing :- NO,NO,"Disposal of sewage water, Garden, Security, Drinking Water, Water Conservation, Water Supply, Fire Safety, Road",Residential,A+B,12,8,1,BAKERI PROJECTS PRIVATE LIMITED,COMPANY,9426385946,accgen@bakeri.com,"SANSKRUT BUILDING, NR. OLD HIGH COURT ROAD, ASHRAM ROAD GUJARAT Ahmedabad Ahmedabad City 380009","Sub plot No 28/A, Maharashtra Co.Operative Housing Society Ltd. bearing final plot No. 452 of Town Planning scheme No.3 ( Ellisbridge) , Ahmedabad City, Ahmedabad, Gujarat, 380006
Partners:-
1. ASIT NATVARLAL SOMANI (Authorized Signatory)
2. HANSA ANIL BAKERI
3. PAVAN ANIL BAKERI
4. ANIL RATILAL BAKERI
Project Estimated Cost (Rs.):- 19,33,02,328 Percentage Loan Against Project Estimated Cost :- 0 %",ASIT NATVARLAL SOMANI (Authorized Signatory),HANSA ANIL BAKERI,PAVAN ANIL BAKERI,ANIL RATILAL BAKERI,,"19,33,02,328",0%,10,6,NIL,3,2,NIL,New,https://bakeri.com,23-07-2018,,,,,380006,,,,,,,
